club_id,domestic_competition_id,average_age,stadium_name,stadium_seats,net_transfer_record_in_euros
862,IT1,24.3,Marcantonio Bentegodi,31045,0
8970,IT1,24.9,Benito Stirpe,16227,+8.45m
9007,UKR1,24.3,NSK Olimpisky,70050,0
12321,ES1,26.7,Montilivi,14624,-4.35m
1241,SC1,27.3,Tony Macaroni Arena,9512,0
127,L1,25.7,Home Deluxe Arena,15000,-450k
19,IT1,25.1,Mario Rigamonti,19550,+3.65m
23,L1,25.6,EINTRACHT-Stadion,23325,+750k
33,L1,26.4,Veltins-Arena,62271,+10.30m
350,GB1,25.5,Bramall Lane,32702,-36.05m
3592,UKR1,24.8,Girnyk,2500,+260k
369,DK1,24.9,Lyngby Stadion,10000,+3.50m
3725,RU1,27,Akhmat-Arena,30200,-1.30m
41201,RU1,24.3,Mordovia Arena,44149,0
472,ES1,26.4,Estadio de Gran Canaria,32400,-4.80m
520,BE1,22.6,Jan-Breydel-Stadion,29062,+10.50m
6418,GR1,25.8,Gipedo Panetolikou,7321,0
653,GR1,27.6,Gipedo Theodoros Vardinogiannis,9088,+1.80m
6994,UKR1,24.3,Slavutych Arena,11883,0
7378,PO1,24,Portimonense Estadio,6000,-550k
982,PO1,25,Estadio da Madeira,5586,0
1005,IT1,23.9,Ettore Giardiniero,31559,+2.58m
1038,IT1,24.3,Luigi Ferraris,36348,+1.75m
1091,GR1,27.5,Toumba Stadium,28703,+6.55m
1210,IT1,24.1,Armando Picchi,19238,0
1245,BE1,24.2,Kehrweg-Stadion,8331,+1.10m
1426,NL1,22.9,Covebo Stadion - De Koel,8000,0
1533,ES1,28.3,Ipurua,8164,+2.60m
180,GB1,24.5,St Mary's Stadium,32384,+2.40m
19657,DK1,25.1,Nord Energi Arena,10000,-20k
234,NL1,24,"Stadion Feyenoord ""De Kuip""",47500,-2.00m
2375,TR1,25.3,Alsancak Mustafa Denizli Stadi,15000,+1.42m
2448,ES1,26.2,El Molinon - Enrique Castro Quini,29029,+5.23m
2741,RU1,26.3,Rostech Arena,35000,-800k
2783,UKR1,24.3,Metalurg,5090,0
3205,TR1,25.4,RHG Enerturk Enerji Stadyumu,32864,+1.70m
3349,PO1,25,Estadio Marcolino de Castro,5401,+325k
3385,GR1,25.9,Dimotiko Gipedo Serron,9500,0
368,ES1,27.6,Ramon Sanchez-Pizjuan,43883,-5.50m
38,L1,25.9,MERKUR SPIEL-ARENA,54600,+600k
3948,BE1,25.1,Stade Joseph Marien,8000,+19.15m
415,FR1,23.1,Stadium Municipal,33150,-5.05m
416,IT1,25.1,Stadio Olimpico Grande Torino,28177,-33.40m
417,FR1,23.9,Allianz Riviera,36178,-35.20m
44,L1,24.1,Olympiastadion Berlin,74667,+6.70m
467,NL1,24.8,Goffertstadion,12500,+3.18m
53646,UKR1,25.8,Tsentralnyi Polissya,5928,-950k
631,GB1,23.2,Stamford Bridge,40853,-198.40m
749,IT1,25.9,Carlo Castellani,19847,+38.85m
833,TR1,25.8,Denizli Ataturk Stadi,18745,0
865,DK1,24.8,MCH Arena,11535,-3.13m
10,L1,25.3,SchucoArena,26515,+5.90m
10484,TR1,25.2,Recep Tayyip Erdogan Stadyumu,13856,-1.00m
1049,ES1,24.5,Mestalla,49430,+14.00m
1053,DK1,24.5,Aalborg Portland Park,13800,+350k
1075,PO1,27,Estadio Municipal de Braga,30286,-6.00m
1269,NL1,25.2,MAC3PARK stadion,14000,+5.00m
132,NL1,23.7,Rat Verlegh Stadion,19000,+115k
2292,TR1,25.3,Elazig Stadyumu,23000,0
27,L1,26.4,Allianz Arena,75024,-6.75m
2759,SC1,25,Global Energy Stadium,6541,-70k
2778,DK1,22.2,Right to Dream Park,10300,+17.35m
29,GB1,27.1,Goodison Park,39571,+42.30m
290,FR1,24.3,Stade de l'Abbe-Deschamps,18541,0
30120,GR1,27.1,"Gipedo Kesarianis ""Michalis Kritikopoulos""",4851,0
306,NL1,24.2,Abe Lenstra Stadion,27224,+3.10m
3268,PO1,25.2,Estadio Municipal de Rio Maior,6925,+2.28m
347,FR1,24.8,Stade Saint-Symphorien,28786,+23.10m
3714,RU1,25.6,Zentralstadion Krasnoyarsk,15000,+601k
399,GB1,24.6,Elland Road,37890,+930k
4083,IT1,27,Ezio Scida,16640,+3.90m
465,SC1,25.8,The SMISA Stadium,8023,-146k
48332,UKR1,26.5,Kolos,5050,+100k
533,L1,25.5,PreZero Arena,30150,-7.30m
58,BE1,25.6,Lotto Park,21500,+8.37m
607,IT1,25.6,Pier Luigi Penzo,11150,+4.83m
68608,PO1,25.7,Estadio do Restelo,19980,0
724,NL1,22.2,Kras Stadion,7384,+1.80m
800,IT1,26.8,Gewiss Stadium,21747,+72.82m
979,PO1,25.9,Estadio C. J. de Almeida Freitas,6153,-2.05m
984,GB1,27.8,The Hawthorns,26850,-1.35m
